event	main_id	verdict	quality	conf	reason
65647	12	STM	clean	med	drawn points stop 6 cm short of the anode (x lo=-194.8) but grey charge appears to continue toward the x=-201 line and the track travels 126 cm across x, so I read it as an anode entry; the far end curls to a stop at (-69,148,394) and the dQ/dx rides the green curve to ~170-185 ke/cm at rr=0 (ks1=0.027) -- the entry is the weak link, not the Bragg
66329	2	STM	clean	high	crosses the anode at x=-201.4 with 25 cm of travel across x, stopping at (-176,147,72) well inside; dQ/dx follows the green curve from rr=30 in to 150 ke/cm at rr=1 with one 218 ke/cm last point (delta ray above the 165 ke/cm expectation)
66624	4	STM	clean	high	crosses the top wall at y=199.7 and drops 129 cm to a stop at (-86,71,205) where a red charge spray (Michel candidate) sits; textbook Bragg riding the green curve to 155-205 ke/cm at rr=0 (ks1=0.019), flat MIP beyond 60 cm
66646	14	nu	clean	med	21 cm object crossing the downstream wall at z=499 whose other end carries a ~4 cm spike to 270 ke/cm (3.5-5x MIP, far ABOVE the 165 ke/cm muon curve) with only MIP charge behind it -- proton-like stub at a vertex, not a muon Bragg
52723	7	nu	clean	high	vertex at (92,29,450): a ~3 cm stub spiking to 280 ke/cm (5x MIP, far above the 165 ke/cm muon curve) = proton-like, plus a 60 cm MIP prong exiting the downstream wall at z=500.3 along +z (beam direction) -- the 51051-style nu topology
66712	11	nu	unclear	low	the long prong crosses the downstream wall at z=500.3, but a straight transverse arm from (58,115,485) to (71,148,470) cuts through the track at (67,132,459) and looks like a merged crossing track rather than a vertex prong; dQ/dx shows no Bragg (55 ke/cm at rr=0 with dropouts to 15-25 ke/cm at rr=2-5)
66822	13	STM	clean	high	255 cm track crossing the upstream wall at z=0.8 (x=-110) and curving to a stop at (-94,81,249) deep inside; dQ/dx rides the green curve to 170-192 ke/cm at rr=0 (ks1=0.013) and is flat 45-56 ke/cm beyond 20 cm
67152	19	nu	junk	high	11 drawn points in a 1 cm blob at (37,-42,447) plus a sparse grey diagonal; the main claims 32 cm from 93 pts in 5 fragments (2.9 pts/cm) and there is no steiner_pc/dQ/dx -- not one physical object
67394	18	nu	unclear	low	multi-piece object: a near-vertical prong touching the top wall at (59,200,405), a second vertical charge band at x=53-55 (y 165-197) and a ~100 cm arm out to (82,171,481); dQ/dx is only 50-75 ke/cm (MIP) at rr=0 and the fit oscillates between -45 and +40 ke/cm = pathological panel, so nothing can be shown to have stopped
67746	10	nu	clean	high	vertex at (71,37,330) with a few-cm stub spiking to 318 ke/cm (about 6x MIP, far ABOVE the 165 ke/cm muon curve) = proton-like, plus a 170 cm MIP prong exiting the downstream wall at z=499 along +z (beam direction) -- the 51051-style nu topology, agree with the tagger's "proton end"
68054	18	STM	clean	high	crosses the upstream wall at (6.5,-130,1.0), crosses the cathode at x=0 and stops at (-24,-111,68) with a small detached charge blob (Michel candidate) there; dQ/dx rides the green curve to 153-175 ke/cm at rr=0 (ks1=0.016), MIP by 30 cm; the x=0 break is the cathode join, not a kink
68648	15	nu	clean	med	the interior end at (-63,-152,387) carries a 2.5 cm stub at 3.6 MIP spiking to 237 ke/cm (above the 165 ke/cm muon curve) = proton-like, and an 8 cm side prong sits at (-56,-168,414); the 116 cm MIP prong runs +z and leaves through the bottom wall y=-199 (last 5 cm grazing along it) -- vertex structure, not a muon Bragg
68956	13	STM	clean	med	468 cm track crossing the bottom wall at (84,-199,41) and stopping at (165,43,374) -- the ctx frame shows no grey charge continuing past that end (the nearby greys are separate tracks with different slopes) -- with dQ/dx riding the green curve to 165-175 ke/cm at rr=0 (ks1=0.033); note it is UPWARD-going, so it must be a beam/dirt muon rather than a cosmic, which is why conf is med not high
68978	18	nu	unclear	low	crosses the top wall at (67,200,169) but the other end, 5 cm from the cathode at (5,82,87), carries an 11 cm segment at 3.4 MIP spiking to 298 ke/cm -- about 2x the 165 ke/cm muon expectation, i.e. proton-scale, so "top-wall entry + muon stop" is not coherent; either a nu vertex with a proton stub and an exiting muon, or charge inflated by the near-cathode join
69066	3	STM	clean	high	crosses the anode at x=-201.2 (past the FV line) with 66 cm of travel across x, stopping at (-135,164,400) well inside; dQ/dx rides the green curve to 160-205 ke/cm at rr=0 (ks1=0.015) and is flat 50-60 ke/cm beyond 20 cm
69308	10	nu	junk	high	13 drawn points in a 1 cm blob at (167,140,420) and nothing else in frame; claimed main 1.1 cm/20 pts, flash PE 109 (low-energy unjudgeable), no dQ/dx (no steiner_pc)
