png	verdict	confidence	object	reason
mcp1k_390644.png	B	3	numuCC	A has no beam-window flash and no candidate. B finds an in-time flash (9478 PE, pred 7001, ticks follow bars) matched to a contained ~150 cm forward-going track (mu342) starting inside at z~280, y~25. A clearly misses a neutrino-like interaction.
mcp2k_480970.png	A	1	unclear	Same candidate, vertex and flash match; the only differences are that B adds a far-away red speck (z~200, x~135, y~-125) and small PID changes (pi27 vs p14). A is marginally cleaner.
mcp1k_277298.png	B	1	unclear	Same short candidate at z~80-120 and nearly identical flash prediction; A adds a far red speck at z~395, x~-195 (detector corner). The PR segmentations differ (A: track then shower; B: shower then track), but I can't tell which is right, so this is a weak preference.
mcp1k_59929.png	B	1	unclear	Same track (z 330-365, down from y~178) and vertex; A adds an unrelated red speck far away (z~350, x~-108, y~-50) and a tiny extra tpc0 flash match (221 PE, pred 16). B is marginally cleaner.
mcp2k_66944.png	B	1	numuCC	A takes only the short curved piece (z 370-410) and predicts 5197 PE against 11395 measured; B adds a red straight track from z=440 exiting at z=500 (mu251), which brings the prediction up to 8309 and the ticks closer to the bars. The link between the two pieces and B's vertex position (z=440, not at the curved piece) are not obvious.
mcp1k_169824.png	A	3	numuCC	A has a contained L-shaped two-track event (vertex at z=115 y=-145, mu435 pi374) matched to the tpc1 flash (14893 PE, pred 11108, ticks follow the bars). B has NO CANDIDATE and leaves both flashes unmatched, missing a clear interaction.
mcp2k_393538.png	B	1	numuCC	Same candidate charge and flash match (49190 PE, pred 35720). Only the PR differs: the long straight track exiting at z=500 looks MIP-like, and B labels a muon (mu227, Enu 725) where A has only showers and a proton (Enu 333). B also breaks it into several small e fragments, so the preference is weak.
mcp2k_105338.png	B	2	numuCC	A has NO CANDIDATE and its flash list has no large in-time flash. B finds a tpc0 flash at 1.254 us (17458 PE) and matches it to a contained curved track (pred 9814, ticks roughly follow the bars). B's vertex sits partway along the track rather than at an end.
mcp2k_58006.png	A	1	unclear	Candidates and flash matches are essentially identical (Enu 468 vs 469). B adds far unrelated red specks at the detector bottom (z 220-250, y=-190), so A is slightly cleaner. The object is a short mu119 with several showers, so it may be NC/nue.
mcp1k_285531.png	B	2	numuCC	Same charge and flash (9309 PE, pred 8505 / 8655 pred 3810). The long straight track rising vertically from the vertex (~130 cm, dark) is MIP-like and should be the muon: B calls it mu358, while A calls it pi355 and assigns a 42 MeV mu to something else. B's PID is more plausible.
mcp1k_281808.png	B	2	numuCC	A has NO CANDIDATE and only a 155 PE tpc0 flash. B has a tpc1 flash at 0.839 us (14218 PE) well matched (pred 11653) to a single downgoing track that starts about 25 cm below the top and stops inside (mu447). This could be a stopping cosmic entering near the top, but it is the in-time flash's charge.
mcp2k_399963.png	B	2	unclear	A has NO CANDIDATE, and its large tpc0 flash (1.861 us, 25946 PE) is unmatched. B has a tpc0 flash at 1.053 us (10091 PE) matched by a track from a contained upstream end (z=310, y=-125) to z~470 (pred 10671). The track ends near dense grey activity, so neutrino vs stopping cosmic is uncertain. B has a couple of far red specks.
mcp2k_415564.png	A	1	unclear	Same charge and flash (12520 PE, pred 7955). A puts the vertex at the upper end of the track and calls a mu315. B puts the vertex mid-track with only e7 (Enu 20 MeV), which is clearly worse PR. The track starts about 12 cm below the top and ends at the cathode, so it may be an in-time cosmic, in which case both rows are wrong. A also has one far red speck.
mcp2k_158227.png	B	2	unclear	A's candidate is the TPC1 half (z 120-340) of one long straight track at y~-160 that seems to continue in grey from the z=0 upstream face through a cathode crossing at z~120, so A's vertex sits at the cathode crossing in the middle of the track. B has no candidate, even though its two in-time flashes (tpc0+tpc1) match the track. This looks like a through-going beam-direction (dirt) muon rather than an in-detector interaction, so B's no-candidate is preferred, weakly.
mcp1k_59261.png	A	1	unclear	Same short track (z 175-220, rising to y~185) in both rows with the same flash match. A puts the vertex at the upstream, lower end (a forward-going reading), while B puts it at the top end and adds far unrelated red specks (z~75, z~470). A is preferred, weakly, though the track stops near the top wall and could be a stopping cosmic.
mcp1k_59003.png	B	3	numuCC	B's candidate is a long forward track that starts inside at z~210, crosses the cathode and exits the downstream face at z=500 (mu712), with the vertex at the upstream end: a classic numuCC. A has no candidate; its orange shows only the TPC1 half, and its tpc1 flash of 9168 PE is unmatched. B's predicted light is somewhat high (8444 vs 6352) but follows the pattern.
mcp1k_60933.png	B	1	numuCC	The charge, vertex and flash match are identical, and neither row has red pieces. The only difference is the ID of the long (~135 cm) straight contained track from the vertex: pi355 in A, mu344 in B. A long straight MIP-like track is most likely the muon, so B is preferred, weakly.
mcp2k_77846.png	A	2	unclear	Same ~140 cm track from the vertex (z~255, y~95) up to the top wall. A calls it mu375 + p139. B calls the whole event a single p137 (a proton of that energy cannot make a 140 cm track) and adds far unrelated red specks. A's PID is clearly better. The object could be numuCC with the muon exiting the top, or a stopping cosmic.
mcp2k_169724.png	unclear	1	unclear	A small, compact object at z~445, y~-65 that straddles the cathode (x -25..+25), with the same charge in both rows and similar under-predicted light (2954/2003 predicted vs 7124/5196 PE measured). A puts the vertex in the middle with 5 particles, including two muons (implausible). B puts it at the x=+20 end with one muon plus a far red speck. I cannot tell which is right.
mcp1k_285665.png	B	1	unclear	The same ~90 cm track (z 20-110, y~-95) in both rows. B puts the vertex at the upstream end z~20 (forward-going). A puts it at the downstream end z~108, where a vertical cosmic crosses, and adds several far unrelated red specks. B is preferred. The track starting ~20 cm from the upstream face could also be an entering muon. Both under-predict the light (~4800 vs 8150).
mcp2k_53749.png	A	3	unclear	A has a clear contained interaction: a dense shower-like blob at z 200-260, y -100..-55, plus a ~60 cm track to the upper-left from the vertex. Its tpc1 flash (19055 PE, pred 12804) matches well, ticks following bars. B has no candidate: its only in-time flash is a 666 PE tpc0 flash, so it seems B never saw the big beam flash and missed an obvious neutrino interaction. A's PID is messy (four 'mu' entries) and the neutrino type is unclear.
mcp1k_172832.png	B	1	numuCC	The same straight downward-forward track (z 130-175, y -55..-130), same light. A puts the vertex ~20 cm into what looks like one collinear line and splits it into a pi80 stub plus mu264 (drawn shower-like in the zoom). B puts the vertex at the upstream/top end, with the main track drawn track-like, plus one far red speck. B's vertex fits 'upstream start' better, weakly.
mcp2k_163595.png	A	2	numuCC	A has a tpc1 beam flash (1.075 us, 14695 PE, pred 11215, ticks follow bars) matched to a track starting inside at z~335,y~-113 plus a nearby piece; B has no tpc1 in-time flash, only an unmatched tpc0 one, and no candidate, so it misses a contained-start interaction.
mcp2k_157215.png	A	2	numuCC	A's candidate is a long track starting inside (z~105,y~0,x~-150) running forward in z to the anode, matched to the bright 1.61 us tpc0 flash (49561 PE, pred 33929); B matches a similar flash but produces no candidate for the same charge; the neutrino-like start favours A (stopping-cosmic reading not excluded).
mcp2k_396222.png	B	1	other-nu	Same large shower-rich event, same vertex and nearly identical particle lists in both rows; only difference is one far red speck in A (z~420, x~-70, other TPC), which is unrelated, so B very slightly cleaner.
mcp1k_65999.png	same	1	unclear	Both rows pick the same tiny blob near the anode (z~265,y~-100) with similar flash match (pred ~10.3k vs ~16k); each adds one far unrelated red speck (A at z~120,x~-200; B at z~135,x~+50) and the vertices differ only slightly; no basis to prefer either.
mcp2k_293536.png	A	1	unclear	Identical charge and vertex near the top (y~160); only the PID of the short dense stub at the vertex differs (A proton 108 MeV, B shower 40 MeV); a dense short stub is more proton-like, weak edge to A; light match poor in both (pred ~2.7k vs ~5.7k).
mcp2k_161725.png	B	2	numuCC	Same muon candidate starting at z~65 near the top; A adds far unrelated red specks (z~50,x~-75 in other TPC; z~60,y~195) and over-predicts the flash (30304 vs 22445, ticks above bars on many channels), while B has no extra pieces and ticks follow bars more closely (14735 vs 22281 with good shape at high channels).
mcp2k_402297.png	B	2	cosmic	The in-time object is a long track exiting the top (z~225,y~190) with a wide dense section lower down, i.e. cosmic-like; A places it at x~-110, puts the vertex mid-track at the gap (two muons back to back) and over-predicts the light (32512 vs 18330), while B places it near x~0 with a well-matched flash (16847 vs 18358) and correctly gives no neutrino candidate.
mcp2k_391777.png	same	3	unclear	Rows are visually identical (same small interaction at z~90,y~-10, same vertex, same flash match 6579 pred); only negligible KE differences (p249/pi58 vs p247/pi61).
mcp1k_280884.png	A	2	numuCC	A finds an in-time tpc0 flash (1.32 us, 16793 PE, pred 10806, ticks follow bars) matched to a track starting inside at z~430,y~75 and running ~140 cm down; B has no beam-window flash at all and no candidate, so it misses a contained-start interaction.
