event	sample	origin	bucket	pi0	tags	gain_ratio	in_merge	in_orphan	in_unowned	in_noop	out_mem	out_other	seed_out	n_showers_touched	sel_shower	has_pio	n_cands	vertex_how	vertex_dist	mass_axis	mass_vertex	reco_pio_mass	flags	confidence	verdict	note	manifest_note	why
138009	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0		False	0									good		scanner wrote 'good' and made no correction
142421	ncpi0	ncpi0	2 over-clustered	-	stub | merge | split-by-proxy	33.000	33	0	0	0	0	10		1	7010	False	0									The OUT segments can form a separate gamma, and then they could be a pi0	a major shower not tagged  (x, y, z) = (111.7, -74.4, 216.5) as shower …	note names over-clustering: 'The OUT segments can form a separate gamma, and then they could be a pi0'
163543	nuecc48	nuecc	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									incorrect nu vertex		vertex complaint, no correction attempted: 'incorrect nu vertex'
165157	mcp2k	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									nu vertex not likely correct		vertex complaint, no correction attempted: 'nu vertex not likely correct'
166870	mcp1k	ncpi0	1 under-clustered	3 pi0, vertex usable	tail | absorb-orphan | pid	0.100	0	1	0	0	0	0		1	85045	True	1	main_vertex	0.0	116.1	116.3	329.7				85045 should be an EM shower, part of pi0 ...		pi0 anchored on the reco main vertex | note names missing pieces: '85045 should be an EM shower, part of pi0 ...'
168596	nuecc48	nuecc	1 under-clustered	-	tail | merge | absorb-orphan	0.488	19	1	0	0	0	0		1	14153	False	0											20 IN mark(s), none OUT
169356	mcp1k	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	67030	True	1	main_vertex	0.0	155.9	138.1	138.1		certain				pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
169626	mcp1k	owner	1 under-clustered	4 pi0, vertex not usable	tail | merge | absorb-orphan | start-moved	0.133	1	2	1	0	0	0		1	22034	True	1	backproject	59.6	144.6	145.4	145.8	no_vertex_ncpi0				What is contained in the 567 MeV gamma, (x, y, z) = (-4.5, 157.5, 442.9) ???	scanner set the no_vertex_ncpi0 flag | 4 IN mark(s), none OUT
172230	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	5027	False	0									good		scanner wrote 'good' and made no correction
172942	mcp1k	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | hard | no-marks	0.000	0	0	0	0	0	0		0	4002	False	0									wrong nu vertex give up		vertex complaint, no correction attempted: 'wrong nu vertex give up'
173093	mcp2k	ncpi0	1 under-clustered	3 pi0, vertex usable	tail | merge | absorb-orphan | multi-shower	0.231	2	1	0	2	0	0		2	18017	True	1	main_vertex	0.0	149.9	149.0	17.1						pi0 anchored on the reco main vertex | 3 IN mark(s), none OUT
174637	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	9019	False	0									good		scanner wrote 'good' and made no correction
174752	mcp1k	owner	vertex-bad (not actionable)	-	vertex-suspect | hard | no-marks	0.000	0	0	0	0	0	0		0		False	0									wrong nu vertex, give up	Why not a single electron??? Instead of e-g-e?	vertex complaint, no correction attempted: 'wrong nu vertex, give up'
176502	mcp2k	ncpi0	2 over-clustered	-	hard | no-marks	0.000	0	0	0	0	0	0		0	23030	False	0									Significant EM shower overclustering, not sure if one can improve ... not easily label		note names over-clustering: 'Significant EM shower overclustering, not sure if one can improve ... not easily label'
176986	mcp2k	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									incorrect nu vertex		vertex complaint, no correction attempted: 'incorrect nu vertex'
180801	ncpi0	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									incorrect nu vertex		vertex complaint, no correction attempted: 'incorrect nu vertex'
196649	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0		False	0									good		scanner wrote 'good' and made no correction
214469	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0		False	0									good		scanner wrote 'good' and made no correction
219295	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	15128	False	0									good		scanner wrote 'good' and made no correction
234638	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	10041	False	0									good		scanner wrote 'good' and made no correction
235435	nuecc48	nuecc	1 under-clustered	-	no-marks	0.000	0	0	0	0	0	0		0	2031	False	0									The entire segments are one EM shower from the main nu vertex, not clustered together	pi0??	note names missing pieces: 'The entire segments are one EM shower from the main nu vertex, not clustered together'
239794	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	2069	False	0									good		scanner wrote 'good' and made no correction
246579	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	19047	False	0									good		scanner wrote 'good' and made no correction
256587	nuecc48	nuecc	good (no major change)	-	pid | no-marks | note-conflict	0.000	0	0	0	0	0	0		0	11301	False	0									good	track arm got ided as electron	scanner wrote 'good' and made no correction
259542	ncpi0	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									incorrect vertex		vertex complaint, no correction attempted: 'incorrect vertex'
267597	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	5121	False	0									good		scanner wrote 'good' and made no correction
268067	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	15080	False	0									good		scanner wrote 'good' and made no correction
268784	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	13027	False	0									good		scanner wrote 'good' and made no correction
269774	nuecc48	nuecc	1+2 both	3 pi0, vertex usable	tail | merge | absorb-orphan | multi-shower	1.000	5	3	0	1	5	0		2	97197	True	0	main_vertex	0.0	162.6	154.3	1444.0					multiple pi0	pi0 anchored on the reco main vertex | 8 IN and 5 OUT marks that are not no-ops
271851	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	23010	False	0									good		scanner wrote 'good' and made no correction
278794	mcp1k	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	44022	True	1	main_vertex	0.0	143.0	159.1	159.1						pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
281165	mcp2k	ncpi0	scanned, no clustering correction	4 pi0, vertex not usable	no-marks	0.000	0	0	0	0	0	0		0	55036	True	1	manual	47.9	137.4	148.1	148.1						pi0 vertex placed by hand 48 cm off the main vertex | no note and no marks; a pi0 was built
281485	mcp1k	ncpi0	1 under-clustered	3 pi0, vertex usable	stub | merge | absorb-orphan	2.500	1	4	0	0	0	0		1	89095	True	3	main_vertex	0.0	60.6	67.2	208.4						pi0 anchored on the reco main vertex | 5 IN mark(s), none OUT
281567	mcp2k	ncpi0	2 over-clustered	-	vertex-suspect | no-marks | start-moved	0.000	0	0	0	0	0	0		0	95128	False	0									nu vertex is wrong ... , 95128 has an overclustering issue of a EM shower isolated with a main cluster segment		note names over-clustering: 'nu vertex is wrong ... , 95128 has an overclustering issue of a EM shower isolated with a main cluster segment'
281639	mcp1k	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	92024	True	1	main_vertex	0.0	125.1	128.1	128.1						pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
281781	mcp2k	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									not clear where the nu vertex is ...		vertex complaint, no correction attempted: 'not clear where the nu vertex is ...'
282909	mcp2k	ncpi0	not scanned	-	no-marks	0.000	0	0	0	0	0	0		0		False	0											no label file in this scan tag
284235	mcp1k	ncpi0	1 under-clustered	3 pi0, vertex usable	tail | absorb-orphan | multi-shower	0.333	0	3	0	0	0	0		2	74027	True	1	main_vertex	0.0	161.1	146.5	146.5						pi0 anchored on the reco main vertex | 3 IN mark(s), none OUT
285567	ncpi0	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	8107	True	1	main_vertex	0.0	147.9		19.1						pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
314838	ncpi0	ncpi0	2 over-clustered	-	tail | seed-out | merge | absorb-orphan	0.423	10	1	0	1	7	0	110088	1	110088	False	0									Overclustering, The OUT segments should be a separate gamma cluster, then forma pi0 likely.		note names over-clustering: 'Overclustering, The OUT segments should be a separate gamma cluster, then forma pi0 likely.'
342199	nuecc48	nuecc	1 under-clustered	3 pi0, vertex usable	stub | merge | absorb-orphan | start-moved	2.333	4	3	0	0	0	0		1	74101	True	1	main_vertex	0.0	118.9	152.9	315.3						pi0 anchored on the reco main vertex | 7 IN mark(s), none OUT
347129	mcp1k	owner	1 under-clustered	4 pi0, vertex not usable	stub | merge | absorb-orphan | start-moved	9.000	2	7	0	0	0	0		1	11000	True	1	backproject	62.2	130.7	131.1	0.0	no_vertex_ncpi0				Two EM showers, 4 gammas inside the electron	scanner set the no_vertex_ncpi0 flag | 9 IN mark(s), none OUT
350186	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	6044	False	0									good		scanner wrote 'good' and made no correction
359980	ncpi0	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	75089	True	1	main_vertex	0.0	184.5	157.4	157.4						pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
360535	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	7060	False	0									good		scanner wrote 'good' and made no correction
389538	nuecc48	nuecc	good (no major change)	-	no-marks | note-conflict	0.000	0	0	0	0	0	0		0		False	0									good	capture second neutrinos …	scanner wrote 'good' and made no correction
394532	mcp1k	owner	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									nu vertex likely wrong	One big EM shower???	vertex complaint, no correction attempted: 'nu vertex likely wrong'
396222	mcp2k	ncpi0	undecidable / too busy	-	hard | no-marks	0.000	0	0	0	0	0	0		0	9059	False	0									very busy events, difficult to scan		recorded as unscannable: 'very busy events, difficult to scan'
399052	mcp1k	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	64067	True	1	main_vertex	0.0	161.0	159.0	159.0						pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
399860	ncpi0	ncpi0	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0		False	0									very good		scanner wrote 'very good' and made no correction
400474	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	18126	False	0									good		scanner wrote 'good' and made no correction
409634	mcp1k	ncpi0	1 under-clustered	3 pi0, vertex usable	stub | merge | absorb-orphan	5.000	9	1	0	0	0	0		1	69032	True	1	main_vertex	0.0	41.0	83.4	103.9						pi0 anchored on the reco main vertex | 10 IN mark(s), none OUT
409888	mcp2k	ncpi0	scanned, no clustering correction	-	no-marks	0.000	0	0	0	0	0	0		0	57045	False	0											no note and no marks
415278	mcp2k	ncpi0	1 under-clustered	-	tail | merge | absorb-orphan | multi-shower	0.189	10	2	0	0	0	0		2	23037	False	0											12 IN mark(s), none OUT
422851	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	1023	False	0									good		scanner wrote 'good' and made no correction
423981	nuecc48	nuecc	1 under-clustered	-	tail | merge | absorb-orphan	0.278	4	1	0	0	0	0		1	12095	False	0											5 IN mark(s), none OUT
433451	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	4040	False	0									good		scanner wrote 'good' and made no correction
437699	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	11030	False	0									good		scanner wrote 'good' and made no correction
444187	nuecc48	nuecc	1 under-clustered	-	stub | merge | absorb-orphan	1.333	3	1	0	0	0	0		1	19079	False	0											4 IN mark(s), none OUT
447477	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	11019	False	0									good		scanner wrote 'good' and made no correction
463565	ncpi0	ncpi0	1+2 both	-	tail | merge | absorb-orphan	1.733	22	4	0	0	0	0		1	13001	False	0									overclustering of two closely gamma, not sure if one can separate them, but one can at least include all the pieces.		note names both directions: 'overclustering of two closely gamma, not sure if one can separate them, but one can at least include all the pieces.'
469665	nuecc48	nuecc	1 under-clustered	-	tail | merge | absorb-orphan	0.667	5	7	0	2	0	0		1	15003	False	0											12 IN mark(s), none OUT
475096	mcp2k	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									nu vertex is not ideal		vertex complaint, no correction attempted: 'nu vertex is not ideal'
489330	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	4018	False	0									good		scanner wrote 'good' and made no correction
506114	ncpi0	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	89100	True	1	main_vertex	0.0	279.8	158.9	87.9					incorrect pi0 pair	pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
506746	ncpi0	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	21056	True	1	main_vertex	0.0	142.6		10.1						pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
521075	ncpi0	ncpi0	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0		False	0									pretty good.		scanner wrote 'pretty good.' and made no correction
